Horizontal,Vertical,Time,Temperature,RPM,Load,Degradation
"[97577.48604628249, 21.299270527843998, 0.6859807323669511, 0.07603812752116657, -0.05956518797982981, 0.0075232580347199965, 0.646669923671571]","[97646.06855455106, 21.299270527843998, 0.6853665318523561, 0.07242045570418387, -0.061222915864910354, 0.007477912144271677, 0.6469866523855546]",0.0,25.0,1800.0,4000.0,0.0
"[106608.07920768324, 70.99723687829994, 0.3687076047114868, 1.8095870004225914, 0.1471660771264588, -0.003882916115140003, 0.6857194503515975]","[106735.4959721014, 70.99723687829994, 0.37125938260654906, 1.8083387606597237, 0.1465719771566685, -0.003922089765266057, 0.6859653908526199]",0.01953,25.0,1800.0,4000.0,9.545917390906568e-05
"[116459.70694191747, 21.299270527843998, 0.33660065976990716, 2.623632097790251, 0.019871515149759864, -0.011037231875830002, 0.7287294988398568]","[116487.62351651142, 21.299270527843998, 0.33660065978412046, 2.623308553284371, 0.021382256318929666, -0.011063032061367266, 0.7288114707614797]",0.03906,25.0,1800.0,4000.0,0.00019091840374768442
"[107778.74499081034, 21.299270527843998, 0.3397033482620081, 1.6668080471068176, -0.15686709160386075, -0.0070335689021000045, 0.678935634066282]","[107846.44413320185, 21.299270527843998, 0.33970334826224324, 1.6589465116542206, -0.1551776950024352, -0.007262569684485914, 0.6792058021778546]",0.05859,25.0,1800.0,4000.0,0.0002863776895158891
"[101452.11530148197, 21.299270527843998, 0.7055993778868395, 0.24721403541180598, -0.00906702863889079, -0.0009932062532899976, 0.6408093149284597]","[101537.04231477165, 21.299270527843998, 0.7055993778933471, 0.24837733384549843, -0.008607144945597198, -0.0015238114299320716, 0.6410299686521372]",0.07812,25.0,1800.0,4000.0,0.0003818370312137123
"[108482.48029455547, 21.299270527843998, 0.5786868187841833, 0.7388309044381836, -0.02976996131214927, -0.0033047668661899962, 0.6620979405403973]","[108447.63689821573, 21.299270527843998, 0.5749698132786634, 0.7414982015889762, -0.029603343149199397, -0.0038104342331177392, 0.6620056646851304]",0.09766,25.0,1800.0,4000.0,0.0004773453071953121
"[100710.71214995357, 21.299270527843998, 0.5522351999413462, 0.3631450725553216, -0.006468961934049925, -0.014212123829909998, 0.643871401143955]","[100769.54376911248, 21.299270527843998, 0.5561163409039098, 0.3633653517034934, -0.005379680232788572, -0.014426118538905446, 0.6440698551809132]",0.11719,25.0,1800.0,4000.0,0.0005728047607811082
"[93068.58363816192, 21.299270527843998, 0.8564419071997238, -0.28508516129400974, 0.05467197058329421, -0.005167555394280002, 0.6306175843750811]","[93244.13114537107, 21.299270527843998, 0.8560806732330788, -0.28199339632388565, 0.055706666262873884, -0.005360550969134385, 0.6312396454466583]",0.13672,25.0,1800.0,4000.0,0.0006682642702966214
"[86689.43838991782, 21.299270527843998, 0.7890995564380632, -0.0415372730986272, 0.05215610152613812, 0.007122330261670003, 0.619638201228936]","[86739.6395634825, 21.299270527843998, 0.7838845457026027, -0.03843921350999224, 0.05296570445342128, 0.0071578535043520615, 0.6196595163748014]",0.15625,25.0,1800.0,4000.0,0.000763723835741884
"[91573.49202437565, 21.299270527843998, 0.3465810287884382, 1.0375525760922049, -0.0847338408534789, -0.0013913906598400044, 0.623784597987014]","[91439.18046926249, 21.299270527843998, 0.3408814616959436, 1.0335793772159265, -0.0838706293518474, -0.0009700360466400042, 0.6234292035775958]",0.17578,25.0,1800.0,4000.0,0.000859183457116929
