Horizontal,Vertical,RUL,Time,RPM,Load,Degradation
"[68476.27145691901, 9.223550207184072, 0.9541973101339117, -0.44136882425532775, 0.024392095986259608, -0.0016502270206072219, 0.4460787116084666]","[131898.8045575093, 9.223550207184072, 0.8600993896458419, -0.2735938533722413, -0.10945298228428685, -0.021939698513044118, 0.5060489535886176]",123,0.0,2100.0,12000.0,0.0
"[76684.2639878401, 9.223550207184072, 0.9803208394748838, -0.5105947213256781, 0.04395202835704051, -0.04046495410580279, 0.43268066898528323]","[122639.29450192272, 9.223550207184072, 0.9139326529885503, -0.17860017591060862, -0.3133957727591364, 0.005802492133357642, 0.48622638272768004]",123,0.0390625,2100.0,12000.0,5.028557925511019e-15
"[65879.30723635133, 9.223550207184072, 0.8216906924044487, -0.3334018393844329, 0.01999533747060533, 0.00017982980037373864, 0.418179499194188]","[130332.61009102923, 9.223550207184072, 0.8586631757501522, 0.0653458841976442, -0.29775154910934276, 0.04374821082729902, 0.4475892468891848]",123,0.078125,2100.0,12000.0,1.005713192209317e-14
"[68713.8893917076, 9.223550207184072, 0.8677117972858552, -0.2960151183462192, 0.11896179308796642, 0.006774238281400201, 0.43611911244203516]","[134162.99051524152, 9.223550207184072, 0.9347206336964528, -0.38657121859588717, -0.13060252365503905, -0.034576504353957406, 0.5024357271482868]",123,0.1171875,2100.0,12000.0,1.5085728576776838e-14
"[73381.96760610933, 9.223550207184072, 0.8167820919841067, -0.10770557539539283, 0.11480018827251302, -0.032876361699613235, 0.4396767653440284]","[124716.44641739564, 9.223550207184072, 0.9675295935016737, -0.4304806808275341, -0.19306927471457033, -0.006437660249595055, 0.5125277870766689]",123,0.15625,2100.0,12000.0,2.0114355389110457e-14
"[65457.54828786986, 9.223550207184072, 0.7716010705178131, -0.06780221669213127, 0.003869771576026853, -0.002374672131334947, 0.418857530230163]","[143259.20231123277, 9.223550207184072, 0.8719477230693742, -0.2799655835963666, -0.1934675677786988, 0.03635214957906078, 0.5474418281230226]",123,0.1953125,2100.0,12000.0,2.5143019311265454e-14
"[66938.74676408138, 9.223550207184072, 0.8617553676913414, -0.31315233368783035, 0.03746267265149247, 0.0013492441281821748, 0.44362506269478535]","[133608.82965206483, 9.223550207184072, 0.8652668323356514, -0.21763322875002666, -0.08783521872701261, -0.034374332634529506, 0.5393577195253103]",123,0.234375,2100.0,12000.0,3.017172737065852e-14
"[79971.11970778646, 9.223550207184072, 0.9321341316520819, -0.4160485967685017, 0.027495239453419057, -0.03462214978175404, 0.4766225204411816]","[126929.10216617968, 9.223550207184072, 0.8576993244633095, -0.2984400848910549, -0.12342058557125933, -0.01005431069666394, 0.5058172365068645]",123,0.2734375,2100.0,12000.0,3.5200486595631804e-14
"[72634.31223184013, 9.223550207184072, 0.8990546889657317, -0.27889568680438925, -0.03313390916183069, 0.002330155689599291, 0.4593947438887034]","[133315.20194505452, 9.223550207184072, 0.8854899184728515, -0.343656979422299, -0.06778399653432106, 0.029273071385680367, 0.525588335278102]",123,0.3125,2100.0,12000.0,4.022930401621928e-14
"[69023.7304202224, 9.223550207184072, 0.879274025604861, -0.313003812394824, 0.06151328805293191, 0.0035550765100353736, 0.4375875579675821]","[128930.52644342743, 9.223550207184072, 0.7883042860520539, 0.003424998770390264, 0.04264936743601237, -0.026095077129147416, 0.47508622157113]",123,0.3515625,2100.0,12000.0,4.525818666414498e-14
"[74067.27200821374, 9.223550207184072, 0.8656144396732028, -0.3989083957709689, 0.15335041318355658, -0.03735304958908958, 0.43219663104123257]","[116853.53041827575, 9.223550207184072, 0.8859416368680022, -0.22582029508463863, 0.10421836238906919, 0.004134666048941402, 0.47378604370069777]",123,0.390625,2100.0,12000.0,5.028714157285433e-14
"[67208.95370076041, 9.223550207184072, 0.9037478102746874, -0.32799186615544684, 0.1512687079828391, -0.0014334421651618712, 0.4382842731624373]","[129547.45363792371, 9.223550207184072, 0.8863198884305332, -0.14867776428759694, 0.09934654229386371, 0.04007635316276007, 0.49669943450562387]",123,0.4296875,2100.0,12000.0,5.5316175780738514e-14
"[67209.51207685207, 9.223550207184072, 0.842750757646846, -0.20709867719755826, 0.022618998640109394, 0.004028088469177845, 0.441618390271383]","[124982.62030260461, 9.223550207184072, 0.8062700806349807, 0.2747667480495295, 0.022950273670038577, -0.028014679460685265, 0.4587896720857841]",123,0.46875,2100.0,12000.0,6.034529633942943e-14
"[77671.165593693, 9.223550207184072, 0.8560716832694735, -0.19073937616068415, -0.015453686854211935, -0.03385657444671651, 0.4453256657551882]","[113795.8842332268, 9.223550207184072, 0.793676184141429, -0.033890837139971985, -0.050143763318878175, -0.0006823998200298078, 0.46259128160049795]",123,0.5078125,2100.0,12000.0,6.537451029048015e-14
"[72525.44895711017, 9.223550207184072, 0.8845884374162856, -0.2392213988627505, 0.03870597224217283, 3.697699312831304e-05, 0.4645038321447677]","[126406.3417256142, 9.223550207184072, 0.86734885657683, -0.3565545858665389, -0.10192321054958878, 0.026724202120465206, 0.4890357620049857]",123,0.546875,2100.0,12000.0,7.040382467374068e-14
"[69337.79280672327, 9.223550207184072, 0.870436000161261, -0.09966143005201733, -0.05548535406669575, 0.002666208345425595, 0.45728284727336316]","[130867.38109223638, 9.223550207184072, 0.9327307713385826, -0.5159536096204138, -0.12300403429011066, -0.03976558653796445, 0.49606295844078085]",123,0.5859375,2100.0,12000.0,7.543324652906104e-14
"[76932.43029329673, 9.223550207184072, 0.8772185135922933, -0.1828543614772169, -0.15447553403753686, -0.03336685095837607, 0.44476024811490367]","[125647.00221581424, 9.223550207184072, 0.8967400949203908, -0.26241981518918056, -0.2491122391951285, -0.005765002341448792, 0.49992111235313386]",123,0.625,2100.0,12000.0,8.046278289629125e-14
"[70809.87535751483, 9.223550207184072, 0.8217142429306944, -0.21925350308915803, -0.11436959096896235, 0.0062487705594051765, 0.44440354571081403]","[148318.84365391373, 6.998244134052005, 0.8440978288174805, 0.2718854492074545, -0.35974459777177625, 0.0307451752498976, 0.5764612757454496]",123,0.6640625,2100.0,12000.0,8.549244081528135e-14
"[66966.23306727236, 9.223550207184072, 0.8139218676511815, -0.21550819279097944, -0.027107167957670746, 0.006486862918698639, 0.43769504734460835]","[138557.1805076173, 6.82477390075695, 0.849921451674855, 0.19014471425159662, -0.14923277623038195, -0.022392933166631216, 0.5759994005867758]",123,0.703125,2100.0,12000.0,9.052222732821896e-14
"[75981.885734193, 9.223550207184072, 0.8914570965720032, -0.3007085539384655, -0.04581459740021088, -0.03755646091734953, 0.4305395182862184]","[117686.49945540422, 9.223550207184072, 0.7950517072326775, -0.11015944387270693, -0.0747119404585212, 0.0051931298458680036, 0.47427250779710217]",123,0.7421875,2100.0,12000.0,9.555214953751472e-14
"[60141.70516548791, 9.223550207184072, 0.8679471038638426, -0.15042786756737092, -0.16276327892577733, -0.002866433345327351, 0.4018719336176921]","[128625.67490870836, 9.223550207184072, 0.7919854878224145, 0.019175934839370967, -0.005553234810153125, 0.030960218024388364, 0.501120232176233]",123,0.78125,2100.0,12000.0,1.005822145275234e-13
"[63759.55506716639, 9.223550207184072, 0.7762875982350887, 0.0589376611651562, -0.07630575828592975, 0.0018488425462960761, 0.41453270952428317]","[131645.7919942286, 6.998244134052005, 0.7991877753647059, -0.11109908376053745, -0.0951342228773921, -0.029064179771833145, 0.5293696850181883]",123,0.8203125,2100.0,12000.0,1.0561242936041402e-13
"[75002.34380912229, 9.223550207184072, 0.826813265735169, -0.17833448726041246, -0.00203116082363329, -0.0315975955275897, 0.4469003447492613]","[117654.90112730803, 9.223550207184072, 0.8619314111368805, -0.10664470148039751, -0.4045521846445688, 0.00971528881455685, 0.4654751763612069]",123,0.859375,2100.0,12000.0,1.1064280109835566e-13
"[68590.50604853015, 9.223550207184072, 0.9111521921207126, -0.22197114286869635, -0.11470588378193458, 0.010313184381293363, 0.4518162705872885]","[133061.9577526122, 9.223550207184072, 0.8145265227601193, 0.2510105071156228, -0.1222765997501267, 0.027796013673619255, 0.5062622449162074]",123,0.8984375,2100.0,12000.0,1.156733368035173e-13
"[71895.00556859044, 9.223550207184072, 0.8917248140232001, -0.1500164131919295, -0.18342287394730533, 0.0050220210455916925, 0.45583973523292076]","[143591.0440218615, 9.223550207184072, 0.806433276577701, 0.030860582657201263, -0.032255539524862764, -0.043911884122953056, 0.572437673288963]",123,0.9375,2100.0,12000.0,1.2070404353806803e-13
"[76634.42328993186, 9.223550207184072, 0.9048543104010911, -0.31413924298213525, -0.1322243589050441, -0.03928962412876324, 0.43284739398836275]","[127530.18526901801, 9.223550207184072, 0.713057332753029, 0.40265655275490353, -0.32607103071570565, -0.0033230128347304555, 0.499548935751905]",123,0.9765625,2100.0,12000.0,1.2573492836417682e-13
"[66681.88091820983, 9.223550207184072, 0.8287566147428218, -0.1713770006131745, -0.00011918217060125544, 0.003558295418589072, 0.436851157388547]","[124853.90991149894, 9.223550207184072, 0.7908491619115423, 0.07100389348570024, -0.16715763159292055, 0.027130231068159993, 0.44649128585536285]",123,1.015625,2100.0,12000.0,1.3076599840097977e-13
