Horizontal,Vertical,RUL,Time,RPM,Load,Degradation
"[49980.69141052889, 18.164367258101425, 0.8497628316773336, -0.00515604233801259, -0.056609255367678836, -0.016145230827350893, 0.3396298134471827]","[83348.86298321109, 7.545561285025422, 0.8867692541593157, -0.008784330888405911, 0.39723590754705485, -0.016379175167172636, 0.4097915251482052]",161,0.0,2250.0,11000.0,0.0
"[57984.36949016296, 7.934018195486519, 0.8484515035830915, -0.036603752864774464, -0.05978461606279554, -0.04092200869682762, 0.3361405648287147]","[86989.8721818477, 7.73735229458698, 0.9219238382862193, -0.5392467268138184, 0.0767958085116316, -0.025041334384641196, 0.42604742150350106]",161,0.0390625,2250.0,11000.0,1.3396491949909806e-16
"[49404.24436061541, 7.934018195486519, 0.7916707510209443, -0.02458908972273477, -0.037968058763273395, -0.010018097648479628, 0.3296394252232958]","[91249.2298140876, 7.934018195486519, 0.922682461453086, -0.5387350494689302, -0.15755799936240406, 0.023892019621477512, 0.45835021532514103]",161,0.078125,2250.0,11000.0,2.67930200351339e-16
"[54133.50297236955, 8.13568289637656, 0.7854779683816006, 0.3306686314722507, 0.1875485331265297, 0.00627947268337398, 0.3366291163621819]","[87411.56777314248, 7.934018195486519, 0.7863483099647782, -0.1715318150804106, -0.1628180422993612, 0.025442738421830095, 0.3955799404370935]",161,0.1171875,2250.0,11000.0,4.0189599043398637e-16
"[55265.29415554963, 7.934018195486519, 0.8099355217915862, 0.34229846968163224, 0.3109886409479306, -0.030986011712830656, 0.346484389662917]","[85789.76275887272, 7.73735229458698, 0.953175229525962, -0.44512651339566744, -0.1370795868151389, -0.031555521697751644, 0.3713716152524921]",161,0.15625,2250.0,11000.0,5.358624582583676e-16
"[52774.37185580027, 7.934018195486519, 0.7066016684693583, 0.16438326502858303, 0.09447125727016208, -0.03285617886285433, 0.3277797947208548]","[79365.11798338626, 7.73735229458698, 0.9585292065115549, -0.5340976323433191, 0.00815597403113198, -0.009639815102573206, 0.4002615520959359]",161,0.1953125,2250.0,11000.0,6.698297603428182e-16
"[50867.603466563174, 30.007974872914932, 0.7280115397157501, 0.19530956284077172, 0.03843923905316778, 0.0034693043121403946, 0.32257826928262906]","[94926.93740058658, 7.73735229458698, 0.8921021464244706, -0.29056963993181606, -0.06269106736344711, 0.033662221826879134, 0.39093609444157223]",161,0.234375,2250.0,11000.0,8.037980546677563e-16
"[51360.69766574844, 7.934018195486519, 0.7373712407698234, 0.18873436954155354, -0.007522653128792573, -0.006472444249999604, 0.34924072596052]","[71953.61865454473, 35.77193493566052, 0.8126084845468364, 0.17248202408030622, -0.25807176493084805, -0.0008649186171685734, 0.3767088686646533]",161,0.2734375,2250.0,11000.0,9.377674992369543e-16
"[58811.25024301524, 7.934018195486519, 0.8182896434768869, 0.05262958200958945, -0.10010141246320725, -0.03803791781327233, 0.3460143829138529]","[77586.02091407169, 35.77193493566052, 0.7700815408409861, 0.15132389016069236, -0.12203905134188937, -0.0189941307965836, 0.3727050615512441]",161,0.3125,2250.0,11000.0,1.0717382520903308e-15
"[49452.58582650209, 9.223550207184074, 0.874203845783897, -0.17974861738386716, -0.018458656728598956, -0.017484083081349838, 0.3231893584198562]","[76798.86140381769, 35.77193493566052, 0.8035313772949966, -0.009649949940508495, -0.14657518602909606, 0.016369485825863162, 0.3787326365880094]",161,0.3515625,2250.0,11000.0,1.2057104712983398e-15
"[53696.68752369969, 9.223550207184074, 0.7298003888379777, 0.20655408118958185, -0.1312969860856723, 0.007460293511590736, 0.32186098786863193]","[88729.18378057827, 34.885231674122295, 0.8248730240318105, -0.1723047367283801, -0.22589167566844542, 0.025972196779163848, 0.3913632734017823]",161,0.390625,2250.0,11000.0,1.3396843149798893e-15
"[51045.398761649936, 7.934018195486519, 0.6831626254300769, 0.21129354529137467, -0.01190966349802292, -0.018784489883144233, 0.33070287957011846]","[86479.38925734363, 7.934018195486519, 0.792960058180011, -0.20691914496267216, -0.08081301844164449, -0.02765262473880371, 0.4235361802087285]",161,0.4296875,2250.0,11000.0,1.4736599413010906e-15
"[54642.716611997166, 7.934018195486519, 0.7192762665449284, 0.03734846628078525, 0.10479847225251832, -0.04025754480994512, 0.31833820841014265]","[80564.62282242758, 7.934018195486519, 0.7997602165653188, 0.16096421359091417, 0.14286578613176373, -0.015491176748795724, 0.4291172829997043]",161,0.46875,2250.0,11000.0,1.6076375086193754e-15
"[45545.78112457019, 8.994919799956122, 0.8061904076663131, -0.05921553894316567, -0.022739002753324435, -0.007019565554830969, 0.3094208191401484]","[91525.20736026388, 34.885231674122295, 0.800309461297323, 0.16789572191374136, 0.11804887757900388, 0.03473624242184752, 0.3970664396709464]",161,0.5078125,2250.0,11000.0,1.7416171755322727e-15
