Horizontal,Vertical,RUL,Time,RPM,Load,Degradation
"[160800.49503167442, 9.223550207184072, 0.8697179150901984, -0.17207768873297713, 0.09469500170044833, -0.020567800296183818, 0.7289926977108933]","[91409.00564455758, 6.172839506172843, 0.8593498698511888, -0.14045663703404543, -0.17344827770921825, 0.0028052405024222046, 0.6314741262545]",52,0.0,2100.0,12000.0,0.0
"[142908.60633471553, 9.223550207184072, 0.8809901557788795, -0.13053974426225912, -0.014640952214109233, -0.0016175792209757347, 0.699528506747607]","[94682.32745694758, 8.554520160171574, 0.8670647935212694, -0.25307121574204006, 0.08250095531000473, 0.03013607282772152, 0.6126534268041595]",52,0.0390625,2100.0,12000.0,1.0925428765438e-08
"[152446.49965483262, 27.831346959691366, 0.8294568373001934, 0.05848697873035835, -0.2131526909952123, 0.020904187612561922, 0.6765367201564504]","[97112.80231430563, 8.99491979995612, 0.8433905164843467, 0.14783177460718866, 0.35550798598391464, -0.029012780352732484, 0.6057763831964469]",52,0.078125,2100.0,12000.0,2.185089244811181e-08
"[149037.8094248174, 13.781968304760127, 0.8559049410357374, -0.14722935468032983, -0.13736268527844114, -0.016438584539608118, 0.7059038150271876]","[88389.04243148371, 8.99491979995612, 0.8190523292163078, 0.16834350799278264, 0.2715104910394361, -0.0076587237227951415, 0.5729700592960782]",52,0.1171875,2100.0,12000.0,3.27764053595064e-08
"[125266.5621686657, 11.561268892286606, 0.8506364243817052, -0.18781210404126236, -0.038125847315527366, -0.002914088126624346, 0.6702770130082583]","[88250.20994623067, 7.934018195486519, 0.8519100211688807, -0.07256719878736373, 0.18725584713643717, 0.027197222337261254, 0.5331569763432928]",52,0.15625,2100.0,12000.0,4.370198379371313e-08
"[133261.43491410633, 27.831346959691366, 0.8752273673062207, -0.14725658251570994, 0.009921174477588786, 0.01826030354050114, 0.6761687283990784]","[103119.75253380329, 6.998244134052005, 0.8573941669155523, -0.32684010385329554, 0.11443724423830239, -0.024823773064682, 0.5991899783669461]",52,0.1953125,2100.0,12000.0,5.462764285555028e-08
"[135267.6967487113, 15.237528449156596, 0.8400790684907813, -0.1320198269546271, -0.01786614981784157, -0.011873969867466048, 0.6913743039544274]","[101820.40179390811, 6.998244134052005, 0.9231958495011641, -0.5056936077148859, 0.0803450569541528, -0.004220702261238895, 0.6450658529533576]",52,0.234375,2100.0,12000.0,6.555339781331973e-08
"[152432.43249665474, 13.781968304760127, 0.8658171383349328, -0.04148326818275683, -0.1279578569587465, -0.006122391170500636, 0.7152367146943482]","[121743.0102664927, 6.329739049630241, 0.7736619543097107, -0.0324042319069755, 0.04210272324549863, 0.0409496386334342, 0.6873076823940079]",52,0.2734375,2100.0,12000.0,7.647926393733412e-08
"[141145.08761385013, 9.223550207184072, 0.880533032868621, -0.023964633128667145, -0.11126061813181241, 0.015523308747967325, 0.7203670964917925]","[111133.52770993394, 7.737352294586978, 0.6609990203487692, 0.20016748368433035, -0.10806514915962147, -0.009006703331059338, 0.724540765890223]",52,0.3125,2100.0,12000.0,8.740525650158178e-08
"[127539.1068161564, 27.831346959691366, 0.8563615929245667, -0.023640134268658297, -0.11604541305990235, -0.012392760977675775, 0.669571487199736]","[101289.55346106793, 8.99491979995612, 0.7503573012991973, 0.22666286008044567, -0.040777573580355185, -0.011016276880491078, 0.6690252755799585]",52,0.3515625,2100.0,12000.0,9.833139078372313e-08
"[124911.63607654914, 28.538756512039726, 0.8453708322592021, -0.16684676222729822, -0.10284375111701109, -0.004733709339045298, 0.6430369035289705]","[112691.53820421622, 8.99491979995612, 0.862243974933943, -0.23746846151185297, 0.00015142308855997424, 0.03000739718484717, 0.6427078399530816]",52,0.390625,2100.0,12000.0,1.0925768206515848e-07
"[130141.56564498988, 9.223550207184072, 0.7912867948281821, 0.039889489829412206, 0.003462088880712993, 0.019381159914850555, 0.6609127823924374]","[106523.21905187794, 8.99491979995612, 0.801309721611299, -0.13626129345850302, -0.1381695809195051, -0.01604890992448217, 0.6574134251277012]",52,0.4296875,2100.0,12000.0,1.201841456380338e-07
"[133115.58595252747, 27.831346959691366, 0.8278611497199887, 0.06079709493529295, -0.04230181532826234, -0.017305586851434785, 0.6888153452684694]","[114330.81378458624, 8.99491979995612, 0.8010731175301855, -0.01174005407877221, -0.1655765001949384, -0.021146491387625626, 0.6858460463173056]",52,0.46875,2100.0,12000.0,1.3111079682326276e-07
"[126343.64591875493, 11.561268892286606, 0.8245645222150335, -0.10598394642652886, -0.03466655225207293, -0.006644343843067574, 0.687540878861821]","[129283.01297401357, 8.99491979995612, 0.8370897122006828, -0.10379207581170657, 0.00741480754091076, 0.03253578966784305, 0.7303448550485856]",52,0.5078125,2100.0,12000.0,1.42037650919861e-07
"[140880.42945027296, 9.223550207184072, 0.7980249525178129, -0.08502914404662043, -0.008248578789384866, 0.020820757588535608, 0.7048999322875323]","[123598.16476716322, 8.99491979995612, 0.8710297053855249, -0.1580523458469325, 0.10435573126621674, -0.001330382645757588, 0.7648508211015943]",52,0.546875,2100.0,12000.0,1.52964723223144e-07
"[145781.11312632816, 27.831346959691366, 0.8398750342391961, -0.17968303067535363, 0.011623051737500823, -0.021264565101790527, 0.7216265040205402]","[118003.13727095466, 8.13568289637656, 0.846661173759828, -0.1126098510960234, -0.05713503833986583, -0.022911065608071143, 0.7148841470985331]",52,0.5859375,2100.0,12000.0,1.6389202902842724e-07
