Horizontal,Vertical,RUL,Time,RPM,Load,Degradation
"[49137.68809035607, 22.768145606839013, 0.8439524280639545, -0.20536963244749584, 0.09412942739710617, -0.012768357043824863, 0.331788168130866]","[68552.4637898028, 7.3585243295573335, 0.8899967220578234, -0.40518440240701104, 0.08310508515728744, -0.013720287420962936, 0.38345026827381523]",158,0.0,2100.0,12000.0,0.0
"[55641.39012820549, 8.771956610007313, 0.687682566034097, 0.1492940374801872, -0.1335390451201339, -0.04809600525970408, 0.33580321952156933]","[64732.57267456011, 7.3585243295573335, 0.6762642782383005, 0.3658453099666845, 0.007563037234794447, -0.015322677170117286, 0.3682829582842178]",158,0.0390625,2100.0,12000.0,9.215923023871532e-17
"[49574.237441272075, 9.457991879467373, 0.7042318257689675, 0.13472386221469446, -0.1078234227753609, -0.020561370240294086, 0.3422448767733857]","[73139.56052183699, 30.77070935725288, 0.708542748801736, 0.4178502611396624, -0.1020743772924617, 0.022727735810088884, 0.3723758651195221]",158,0.078125,2100.0,12000.0,1.8431875501466513e-16
"[51513.57154345313, 12.156460505642169, 0.7460162015508703, 0.013302868871521767, -0.04399627991153631, -0.005939337331804008, 0.33977400208811537]","[65309.54439700658, 6.998244134052005, 0.8545492642033651, -0.033345923907643016, 0.10953979688578101, -0.015990958567753004, 0.3944927417355116]",158,0.1171875,2100.0,12000.0,2.764786950494675e-16
"[52269.58731062041, 8.342473455385782, 0.8374126881365545, 0.10790390102850322, -0.15580368147301513, -0.041736670171659745, 0.333279801103672]","[64162.82347068549, 23.346860094314746, 0.7923474525371038, 0.22074568537493056, 0.078032605488135, -0.02091111639461602, 0.3689145898689786]",158,0.15625,2100.0,12000.0,3.6863918778861305e-16
"[47026.75741076252, 9.457991879467373, 0.6993822789852453, 0.3865543761015, -0.06617489760645869, -0.022762135830831504, 0.31676882261253964]","[72458.08626430588, 33.1772182838129, 0.8555148735983631, -0.15865832416759584, 0.08061483637203987, 0.026664679041669154, 0.3666905753787826]",158,0.1953125,2100.0,12000.0,4.608003606457215e-16
"[48224.96760063324, 8.554520160171574, 0.6976077094782268, 0.37944745140505187, -0.10102328369597047, -0.006037933127934446, 0.32102108329085216]","[61431.04261561692, 7.3585243295573335, 0.8813889470382714, -0.26037909579645957, 0.061013944620546726, -0.010581340653772774, 0.39804794479551164]",158,0.234375,2100.0,12000.0,5.529623424134452e-16
"[50637.09027851256, 8.342473455385782, 0.763346016747658, 0.2068733435869481, -0.13391206527781424, -0.041368045512043795, 0.31707561041087134]","[63173.621211594895, 6.655603592023404, 0.8225346270759548, -0.030985087695980074, 0.07793931089178112, -0.019216560719591637, 0.3763386080524426]",158,0.2734375,2100.0,12000.0,6.451252619013975e-16
"[47356.29305098282, 6.172839506172843, 0.8098974951706025, 0.008156270795991016, -0.014578949649470862, -0.03031976148974205, 0.3317261190394251]","[72382.86838597318, 33.1772182838129, 0.7930885004588875, 0.011591922797205445, -0.022831476613656067, 0.024512067060104493, 0.3618605712098734]",158,0.3125,2100.0,12000.0,7.372892479501981e-16
"[52084.152680968655, 8.554520160171574, 0.853005324571346, -0.13416614458372633, 0.005583307730130713, -0.005573945033232366, 0.3528939922739628]","[65642.54185789004, 7.3585243295573335, 0.9073610248710571, -0.34132222930997, -0.07746784133244872, -0.01921755318695647, 0.39271461274265224]",158,0.3515625,2100.0,12000.0,8.29454429431441e-16
"[54270.6980363253, 8.342473455385782, 0.7648603386384718, 0.12822449670847735, -0.027488126422973515, -0.041139617570070786, 0.34721677129092915]","[65535.85172022058, 9.457991879467373, 0.8576793569894224, -0.263205144181192, 0.010759374075106637, -0.018067253638944975, 0.399902362527716]",158,0.390625,2100.0,12000.0,9.21620935248268e-16
"[50198.5157828237, 8.342473455385782, 0.7705391797913721, 0.1188216695006803, -0.005328154935348726, -0.029968271909224783, 0.34899151223200414]","[75468.14442188537, 33.1772182838129, 0.815716426299343, 0.009388866507233473, -0.054394605495537054, 0.027461540262349565, 0.39010589227567327]",158,0.4296875,2100.0,12000.0,1.0137888943944627e-15
"[52463.67978870444, 8.554520160171574, 0.806641083714768, 0.15203163124032537, 0.11640897854156548, -0.0043066901059533634, 0.3428759361196411]","[64813.3119220665, 7.545561285025422, 0.8542972132761764, -0.04561898033283551, -0.08281552561922492, -0.018728405482362962, 0.42019224780082765]",158,0.46875,2100.0,12000.0,1.1059584361064743e-15
"[52132.84476633988, 6.172839506172843, 0.7916073227715932, 0.1672763681989009, 0.10054584978670167, -0.03730680253638796, 0.34309849852140356]","[68035.7206529978, 7.3585243295573335, 0.8481700393268377, 0.029767637163425675, -0.029577891170746634, -0.024038411267939302, 0.42323677492216016]",158,0.5078125,2100.0,12000.0,1.1981296894360341e-15
"[49077.9381384873, 12.465450088391872, 0.7837078912209934, 0.028539766269752853, 0.06976594603036326, -0.028053220463684206, 0.32902016099102555]","[73920.39916889116, 33.1772182838129, 0.7932514385549243, 0.2474654332639603, 0.0709472154961507, 0.030648562133001767, 0.3739568500410676]",158,0.546875,2100.0,12000.0,1.2903027834036624e-15
"[49498.90013428835, 9.457991879467373, 0.8156559945111534, -0.09765434861390121, -0.023096563914473244, -0.0030338615066301776, 0.3166712930948151]","[60832.52342803923, 7.545561285025422, 0.744355508607899, 0.14141959595209608, -0.06975817117047918, -0.011002532959902311, 0.3620789339987795]",158,0.5859375,2100.0,12000.0,1.3824778470298795e-15
"[51044.86229075353, 9.457991879467373, 0.9094297410206945, -0.35969073682639463, -0.13969699435590122, -0.03698106759123446, 0.33727261149120547]","[67215.3841267953, 7.3585243295573335, 0.8859437008744475, -0.2678123930282519, -0.20538401374803095, -0.022920561783790226, 0.38254448868441626]",158,0.625,2100.0,12000.0,1.474655009335205e-15
"[50166.62095928438, 12.465450088391872, 0.8398547162175118, -0.3260823637976191, -0.10685637306365867, -0.038396044234580505, 0.33708700712836065]","[71978.59922719054, 23.940284188088544, 0.8673533657111003, -0.15697266171246183, -0.15071734195824696, 0.02739551620098783, 0.3743246829176972]",158,0.6640625,2100.0,12000.0,1.5668343993401597e-15
"[49956.24914180065, 8.554520160171574, 0.8433282560290896, -0.10908401372157073, 0.016590402461899814, -0.010094617285996003, 0.33858511762012805]","[59606.85753415471, 7.737352294586978, 0.7961686151420739, -0.028109766217439436, -0.10659274501002594, -0.014212448885829027, 0.37162363896847106]",158,0.703125,2100.0,12000.0,1.6590161461081054e-15
"[47240.859509098016, 8.554520160171574, 0.8292384684203448, -0.01585240290905876, 0.18774969666746735, -0.034939106764168976, 0.3353699757801958]","[69958.65001692512, 7.3585243295573335, 0.8003383456101465, 0.17755829042161952, -0.1116627965664621, -0.031067957646680355, 0.388911173531025]",158,0.7421875,2100.0,12000.0,1.751200379806121e-15
"[45544.632643372905, 8.771956610007313, 0.7970012096952674, 0.025261153015222693, 0.17126757817651495, -0.03395687972075183, 0.31113384372839503]","[73596.61067354733, 31.552830817755027, 0.7905518266409317, 0.19303019867943716, 0.03359939017715712, 0.026312011034907715, 0.38804656837632906]",158,0.78125,2100.0,12000.0,1.843387230270372e-15
"[49788.7245002048, 8.771956610007313, 0.7427149654486807, 0.28542378481230646, -0.05719844360393684, -0.002731953789566093, 0.30544292498297826]","[63415.999131953766, 7.3585243295573335, 0.766691252132247, 0.0870381754832863, 0.142523332681484, -0.0028688167407925464, 0.37388592629398276]",158,0.8203125,2100.0,12000.0,1.9355768269304243e-15
"[46484.890531751655, 8.771956610007313, 0.7800890702639844, 0.14507370914327122, -0.08999573011876524, -0.03030628065123098, 0.312871589342665]","[69603.65319072064, 33.1772182838129, 0.729565982035076, -0.1368860503241942, -0.1314376260241636, -0.030160750451400698, 0.3643327520417923]",158,0.859375,2100.0,12000.0,2.0277692992158414e-15
"[49180.89965864402, 8.771956610007313, 0.8055480165731952, -0.10154617674319599, 0.0660389829309064, -0.03932160676123058, 0.3140653507157866]","[73127.13093783574, 30.77070935725288, 0.7646772677310182, -0.11157585289552019, -0.015743053073776346, 0.0312891127587714, 0.36052401347924196]",158,0.8984375,2100.0,12000.0,2.1199647765561876e-15
"[52340.504881481276, 8.99491979995612, 0.8604059026581282, -0.09280688806071247, 0.17362542722635838, -0.006814943196574273, 0.32789051267696734]","[63070.553313511, 7.3585243295573335, 0.6876399313191873, 0.34849744942506344, -0.04421465366773425, 0.0018246281268177284, 0.37767432357513914]",158,0.9375,2100.0,12000.0,2.212163388381028e-15
"[45926.9725618596, 8.771956610007313, 0.8281099364548761, -0.04687627782105652, 0.18756461821603881, -0.032962582330134146, 0.3140142073067065]","[74323.33461347359, 7.176123586213073, 0.7351861056480997, 0.0569112267003784, -0.11513945890347721, -0.03633591550505164, 0.3734706288268758]",158,0.9765625,2100.0,12000.0,2.3043652641199267e-15
"[47579.18569292027, 8.99491979995612, 0.8374252516760354, -0.15438916720960094, -0.010356407690680252, -0.04080419754918324, 0.301391725928776]","[67207.6443883718, 7.3585243295573335, 0.9429264631821557, -0.38241774946031803, 0.018039045813496166, 0.016956338134604163, 0.35951580431191904]",158,1.015625,2100.0,12000.0,2.3965705342464924e-15
"[51771.35765167849, 8.342473455385782, 0.7813025393764736, 0.010767053585975184, 0.017074494614895273, -0.004447469753831991, 0.33159265416829564]","[61528.99568382161, 7.3585243295573335, 0.9034199269824627, -0.24446647172163427, 0.10020975394456838, 0.003595465245630393, 0.3680811375898121]",158,1.0546875,2100.0,12000.0,2.488779330066906e-15
"[49426.537648090896, 8.342473455385782, 0.7541868147510076, 0.2269614229087753, -0.052114317454521206, -0.028950366311025898, 0.34590574640858845]","[71793.92838982398, 7.176123586213073, 0.855778472707277, -0.0513495005642568, -0.02116608954099726, -0.028191525127929298, 0.3793603771269008]",158,1.09375,2100.0,12000.0,2.5809917816621834e-15
"[50400.508856899025, 8.771956610007313, 0.7401752203544611, 0.19944350313370185, -0.12135634885791702, -0.04292088862936383, 0.3242970479453236]","[70847.23734207508, 7.3585243295573335, 0.7066334966995916, 0.385485277821056, 0.03469657910443453, 0.014430347064260645, 0.39887502047206813]",158,1.1328125,2100.0,12000.0,2.6732080191030544e-15
"[46965.297371527275, 8.554520160171574, 0.7782584636066887, 0.19462772086837354, -0.21764517991385943, -0.007795382201399469, 0.3134137087937912]","[63121.252052208, 7.3585243295573335, 0.7583249456850817, 0.25981167177223075, 0.2775515774795674, 0.0017212056601957429, 0.4016875165446801]",158,1.171875,2100.0,12000.0,2.765428172460248e-15
"[47408.930901339285, 8.554520160171574, 0.7909955022737265, 0.22941413174259528, -0.19250657952781064, -0.02387959257107949, 0.32676253674311007]","[68606.21622744616, 33.1772182838129, 0.862286230487916, 0.02457119374642014, 0.23965637499269152, -0.02858930016038091, 0.38320958177416403]",158,1.2109375,2100.0,12000.0,2.857652371804494e-15
"[48215.762957922925, 8.342473455385782, 0.7744756467736615, 0.042775157937545494, 0.05778898680976661, -0.04232572815949954, 0.32174472491453787]","[64370.760866059994, 33.1772182838129, 0.8627860577163556, -0.14400215068432853, 0.14691568470084768, 0.017557524751796828, 0.3954217280665413]",158,1.25,2100.0,12000.0,2.9498807472065216e-15
"[49002.765146744765, 9.457991879467373, 0.8603950328104931, -0.15539703722565656, 0.10977142200633569, -0.009972759654697409, 0.3413771703933808]","[64904.49900634016, 7.3585243295573335, 0.7618335083283595, -0.1241264555712771, -0.05731420233751249, 0.011039579174244016, 0.4146841882010688]",158,1.2890625,2100.0,12000.0,3.0421134291927813e-15
"[51594.3515653567, 8.554520160171574, 0.8724796682736877, -0.29776272306181273, 0.01735803540510017, -0.023496256343116587, 0.3591329660586375]","[70433.26498632622, 7.3585243295573335, 0.6354467439281495, 0.5309060707083688, -0.00475943225445066, -0.024431038292980888, 0.41074431255181715]",158,1.328125,2100.0,12000.0,3.1343505502492047e-15
"[53253.90912517095, 7.3585243295573335, 0.8780523791472021, -0.3203030799191886, -0.02293428352620231, -0.04671151930349613, 0.3369061045592246]","[63910.43729446182, 22.768145606839013, 0.6176399176835903, 0.7649122521427967, -0.01660751471531466, 0.011146544952586194, 0.375955721903817]",158,1.3671875,2100.0,12000.0,3.226592241555262e-15
"[49374.78729404757, 12.465450088391872, 0.865661844994821, -0.3542325932686641, 0.02899759368136022, -0.010592323360389748, 0.3348091065950808]","[63852.7551261573, 6.998244134052005, 0.8323625841232387, 0.019703403888062354, -0.27303069889944714, 0.00396752125253725, 0.38904222633688124]",158,1.40625,2100.0,12000.0,3.318838634069187e-15
"[47678.00858077661, 9.457991879467373, 0.8704569340104633, -0.1878833410527352, -0.0889959279523906, -0.019891426326609632, 0.3391075616759699]","[79477.46345112256, 9.457991879467373, 0.8829696450941606, -0.21230363037577238, -0.23388371236851274, -0.03367827080338419, 0.42848261661925013]",158,1.4453125,2100.0,12000.0,3.4110898587492165e-15
"[51070.3062187336, 9.457991879467373, 0.7798569218859637, 0.07473331119793558, 0.020729897621722632, -0.042466785259142555, 0.33053974343933934]","[67113.37079005419, 9.457991879467373, 0.6444532774115537, 0.363137138209801, 0.01747184722659719, 0.004401533184564784, 0.3973821816678142]",158,1.484375,2100.0,12000.0,3.5033460465535854e-15
"[51415.15939965364, 22.768145606839013, 0.6827652515451496, 0.20738318728656413, 0.022762082556157807, -0.009407238738574351, 0.32760663316995564]","[62729.22349636705, 7.737352294586978, 0.6448080049666282, 0.4644895899303618, 0.11751777735753001, 0.015365627545671194, 0.37829036415884154]",158,1.5234375,2100.0,12000.0,3.595607329160117e-15
"[49628.81630379961, 9.69839252594916, 0.7936123706667548, -0.014225319382385582, -0.12326823694113344, -0.02266406379443511, 0.34125145107915306]","[70601.73106128609, 33.1772182838129, 0.7366145658292134, 0.1658016559583153, 0.017904064753822547, -0.030598148939265542, 0.40047860944369085]",158,1.5625,2100.0,12000.0,3.687873839644465e-15
