Horizontal,Vertical,Time,Temperature,Degradation,RPM,Load,Degradation_monotonic
"[31666.403713328502, 42.51426712343621, 0.7256075302587703, 0.006500999801567264, 0.0006451220852501009, 0.011080999999999999, 0.4154961401012048]","[27855.367384469664, 27.21928127950858, 0.8156911854476065, -0.12113564719960301, -0.031661746433931305, 0.001455999999999998, 0.47138260051045583]",0.0,74.943152,0.0,1800.0,4000.0,0.0
"[30559.984626604113, 41.57687030782511, 0.6901346502914402, 0.08925857946010396, -0.020844842590279557, -0.0025200000000000014, 0.39113529066040564]","[25748.41798995693, 20.370370370370363, 0.8521128308587809, -0.021913643629670077, 0.02685686238166877, 0.0028340000000000006, 0.4600892787753264]",0.03906,78.952416,2.365480585739044e-09,1800.0,4000.0,0.0009453515664351265
"[29810.735523115058, 38.02946240066889, 0.7601220181178576, -0.07986423677627208, -0.007650565744325934, -0.004913999999999999, 0.3834704690116307]","[24465.315031194867, 29.758309904755187, 0.5923411787218271, 0.4846642915121797, -0.10772061785136527, 0.0028209999999999993, 0.44165350101521894]",0.07812,82.223406,4.703316378377712e-09,1800.0,4000.0,0.0017981492352216214
"[30549.74529483605, 42.51426712343621, 0.755260312774229, -0.02412080991529697, 0.029568621039215988, 0.003265000000000004, 0.3952172804610143]","[24112.29681740476, 44.452941222522675, 0.6167451000327753, 0.4278359543318899, -0.09469029021067035, -0.0023469999999999975, 0.44855717873087264]",0.11719,85.218058,7.019458131823204e-09,1800.0,4000.0,0.0025813532896336176
"[28318.49628934093, 36.370927965583945, 0.7849651408585732, -0.0835969168971129, 0.11437819896285031, 0.010823999999999997, 0.3996564612564146]","[25968.38386392242, 22.270529046352106, 0.7583645214352834, 0.05259756206734334, -0.04185869937894521, 0.0019269999999999997, 0.46169729441594093]",0.15625,88.16122399999999,9.315034127132605e-09,1800.0,4000.0,0.003299442376695425
"[22420.8560775337, 24.34793550567121, 0.7902360062938778, -0.18089658670216746, 0.09672126931521566, -0.003418999999999997, 0.3868286667750983]","[28726.53735958283, 22.270529046352106, 0.7899337405057545, 0.039883847030843356, -0.06783900993607273, 0.0057179999999999965, 0.4798620785975904]",0.19531,90.802034,1.1592692237420729e-08,1800.0,4000.0,0.003968159218722525
"[22987.831354379065, 38.02946240066889, 0.8491442334839723, -0.26983657107040493, 0.035464683714617494, -0.008002000000000002, 0.38995596673983596]","[27892.39815339612, 21.779486287708007, 0.8090435466372905, 0.12794640642852784, 0.07508769413543297, 0.0030259999999999983, 0.4650170570247934]",0.23438,92.376048,1.3857935952731297e-08,1800.0,4000.0,0.004604707746382599
"[23454.973193522674, 24.34793550567121, 0.7535854352070529, 0.04626567068663201, -0.02406502897630601, -0.0017469999999999999, 0.3981394441536784]","[24570.050013281194, 22.270529046352106, 0.7014471697251122, 0.17596973648882042, 0.028341909299790715, 0.004735000000000001, 0.4371356297249173]",0.27344,93.175598,1.611546615561488e-08,1800.0,4000.0,0.005220750874039076
"[23553.478395791724, 24.34793550567121, 0.7058389100873187, 0.3269775121895817, 0.024431288919543142, -8.40000000000023e-05, 0.39443842224610925]","[25397.359071964947, 27.832970270664607, 0.7571482009669687, 0.15822777995119308, -0.07922963451707765, 0.009260000000000001, 0.44965940710720154]",0.3125,93.960396,1.8368301130958347e-08,1800.0,4000.0,0.005823383447208842
"[27714.147348757724, 22.772642910514104, 0.7526578772795867, 0.09227684443267048, 0.04902273335094137, -0.009087000000000003, 0.3971149322689843]","[28101.54736107129, 32.53418043238795, 0.7324329821911404, 0.179426478538542, -0.06486667317644917, 0.0009400000000000004, 0.4715063015485583]",0.35156,94.766674,2.061647433796489e-08,1800.0,4000.0,0.006414476709430134
"[28750.476186323645, 38.02946240066889, 0.7641301327211816, 0.15215302198235747, 0.01878153806043134, -0.019521, 0.390437618012148]","[29498.55962965471, 29.10216911179048, 0.7125142929539174, 0.06870559386085695, -0.04828659967971866, -0.006100999999999999, 0.47773481430496567]",0.39062,95.58602600000002,2.2859942193820533e-08,1800.0,4000.0,0.006992143368076342
"[25754.777237543753, 22.772642910514104, 0.7581230268319672, 0.19662350380514848, 0.009329357331353762, -0.011995999999999996, 0.4000646247595506]","[28091.154053661852, 22.772642910514104, 0.726449955596981, 0.07800847045459802, 0.01050091446885635, -0.007228000000000002, 0.4798878181575357]",0.42969,96.467296,2.5099116155903484e-08,1800.0,4000.0,0.007556672801147489
"[23383.180586041308, 23.811088024719595, 0.733053947694428, 0.14350294137024378, -0.004864833817797233, -0.011892999999999997, 0.3981666856368071]","[27621.127507861907, 27.832970270664607, 0.7850399039565452, 0.18949315254679888, -0.044157907144757105, -0.009016000000000001, 0.47329883133597533]",0.46875,97.40496,2.73325839279299e-08,1800.0,4000.0,0.008108132653348839
"[23160.101098326853, 20.370370370370363, 0.6643325387642824, 0.24419501367830776, -0.006559872160446155, -0.012445999999999999, 0.37923348360080233]","[31504.892217409422, 27.832970270664607, 0.5982308663341854, 0.5382392457513197, -0.04632758436567804, -0.006838000000000003, 0.4988441738218459]",0.50781,98.41363,2.9560628491828195e-08,1800.0,4000.0,0.008647047834318109
"[30248.425300144587, 40.66014214886444, 0.7241409982176431, 0.07359721122026608, -0.0542400207713591, -0.0029130000000000002, 0.3977351951122757]","[32593.505654233126, 29.758309904755187, 0.6377137223775812, 0.35813706577257376, -0.05768562614290974, -0.003403000000000006, 0.5044587204033646]",0.54688,99.47114000000002,3.178356756292907e-08,1800.0,4000.0,0.009174002359734755
"[33664.52690841211, 40.66014214886444, 0.8232653199801445, -0.15552726568587127, -0.12329913226493756, -0.0015780000000000021, 0.39686526670395333]","[28813.420666547467, 20.370370370370363, 0.916133091357767, -0.30500682912617627, -0.0730711515698396, 0.0030269999999999963, 0.4692976329271223]",0.58594,100.44914,3.400041303179847e-08,1800.0,4000.0,0.009689249158120495
"[36853.601918346554, 39.76362692347015, 0.849228617130297, -0.1865970050592125, -0.0665245307648747, -0.011805999999999997, 0.3983124456554176]","[28693.235776127967, 26.6191235131627, 0.854999126378428, -0.20101218452739067, -0.052898636655011246, 0.004424000000000004, 0.46675231571359127]",0.625,101.23782,3.621252136243345e-08,1800.0,4000.0,0.010193519116919684
"[38519.46125933224, 22.772642910514104, 0.8595033749342691, -0.1333888569930033, -0.019767300469433594, -0.011597999999999995, 0.40794451632054085]","[32839.35442244834, 20.370370370370363, 0.7423859054606095, -0.014302523690656432, -0.030225972619061132, -0.005305999999999995, 0.4845364035487943]",0.66406,101.90708,3.84207573056219e-08,1800.0,4000.0,0.010687478632217196
"[36277.13816021708, 39.76362692347015, 0.7232952063253992, 0.09197573735372311, 0.05657287633460513, 0.002152999999999997, 0.41395455981423857]","[30914.250373732862, 20.370370370370363, 0.6500856700570599, 0.031210533768419424, 0.0683609340454203, -0.014282, 0.48603970462915885]",0.70312,102.56062,4.0625509453379125e-08,1800.0,4000.0,0.011171866010561103
"[33575.987193447596, 35.568985597466224, 0.7462066847217033, 0.07654481054175344, 0.06824498141702409, 0.007975999999999997, 0.44440709200461687]","[28947.793794575988, 27.832970270664607, 0.7862752430241409, -0.03975462143799291, -0.049742371768381706, 0.002427000000000003, 0.47393150630760983]",0.74219,103.20656,4.2827431165352497e-08,1800.0,4000.0,0.011647612188762703
"[22449.071068322835, 35.568985597466224, 0.7390236207159846, 0.08592575681077852, 0.01129077804774908, 0.0005910000000000002, 0.41445966718005267]","[29032.391220812577, 27.832970270664607, 0.8683367033406448, -0.17850021965776763, -0.10235884987929723, 0.010012, 0.4823228149859801]",0.78125,103.86098,4.5025417557643656e-08,1800.0,4000.0,0.01211535595642796
