Horizontal,Vertical,Time,Temperature,Degradation,RPM,Load,Degradation_monotonic
"[35134.04368142932, 32.53418043238795, 0.7844479838466608, 0.12485320846825587, -0.13770522501206164, -0.0032000000000000062, 0.4138056307011784]","[21505.145697757383, 23.286077490589925, 0.6952041849425138, 0.5079248086118953, -0.06832238053729668, 0.005857999999999998, 0.36930338454446904]",0.0,284.28723,0.0,1650.0,4200.0,0.0
"[33272.37785727843, 35.568985597466224, 0.7281037717043202, 0.45622894750354437, -0.0981835683739589, -0.0035680000000000013, 0.40228265855738804]","[19124.581744148105, 36.370927965583945, 0.752840106288736, 0.26742052735073774, 0.08555936440261636, 0.010073000000000002, 0.34994349496883065]",0.03906,269.108936,0.0005314429935391,1650.0,4200.0,3.0354879724966764e-05
"[33672.667443021455, 31.81683448714817, 0.7790360049154649, 0.06412699375514608, 0.029497186481719197, -0.002063999999999998, 0.40556189651396]","[20617.160726508126, 22.270529046352106, 0.7876828767491367, 0.07730654787818247, 0.013150241205000473, 0.002063000000000001, 0.35429805959248495]",0.07812,167.275682,0.0011309986757575,1650.0,4200.0,0.00010197615242429419
"[34174.99009452862, 31.115305298264754, 0.884064286467344, -0.2397822656537798, -0.012453454312743174, -0.005332000000000001, 0.41496905158818775]","[19342.135033958963, 23.811088024719595, 0.7630743636827764, 0.1865485606273296, 0.169345632866044, 0.0072169999999999995, 0.3564455412976854]",0.11719,219.638698,0.0017602987141912,1650.0,4200.0,0.00019717563859149976
"[34584.60361830174, 32.53418043238795, 0.9124170778630516, -0.29043175108602126, -0.00318164770089501, -0.0018389999999999986, 0.4335891662380415]","[20175.84889247782, 23.811088024719595, 0.7247165152184826, 0.18954092577162474, 0.09842654140424688, 0.004713, 0.3581636869240096]",0.15625,237.289342,0.0023474906138421,1650.0,4200.0,0.0002517244745138889
"[39443.03188466248, 32.53418043238795, 0.6697135150410729, 0.5186200427886223, -0.15977857625486938, -0.009682, 0.4297597292394903]","[20654.401051832556, 23.811088024719595, 0.7765897089876966, 0.014591586647532129, -0.035150996155781995, 0.008937, 0.35661218014952883]",0.19531,221.5733,0.0029335510047602,1650.0,4200.0,0.0003071803594995476
"[34875.91073773845, 31.81683448714817, 0.5826074815914448, 1.1321702073783326, -0.23306594855847848, -0.0034630000000000017, 0.38783432626702863]","[19338.177590839063, 26.6191235131627, 0.7641122697985998, -0.054750382659375596, 0.04746628731811788, 0.0030870000000000008, 0.35192714790280105]",0.23438,250.840492,0.0035118966138793,1650.0,4200.0,0.0003568919661081378
"[35633.31558696383, 34.01775705752766, 0.8301219687313167, -0.15672023819571912, -0.03567300569603269, -0.009416, 0.3694390706787792]","[18639.229187136334, 23.286077490589925, 0.7595663599175833, 0.05325838494052304, -0.05108398092045694, 0.004997999999999997, 0.3477807096375531]",0.27344,309.948246,0.0040391383402037,1650.0,4200.0,0.0003879066725158385
"[34190.85406856073, 38.02946240066889, 0.7285917436252898, 0.03501852702283337, -0.010344054720240286, 0.0011979999999999994, 0.3773274662623965]","[19621.62742766341, 22.270529046352106, 0.7785850441677655, 0.16699296816003795, -0.14405707521510744, 0.0067379999999999975, 0.35481617403382276]",0.3125,320.273636,0.0045268680703269,1650.0,4200.0,0.00040993719026829865
"[37905.15996097587, 32.53418043238795, 0.6554979556133804, 0.6471633027009012, -0.11756237218315688, -0.015511999999999998, 0.4081216140514981]","[20314.694252148038, 38.02946240066889, 0.7849910184276205, 0.08012349736605806, -0.11408864509206315, -5.000000000000249e-05, 0.3546893817130702]",0.35156,227.681424,0.0050617023933393,1650.0,4200.0,0.00043757667782468235
"[38137.43944301083, 33.267699740359916, 0.6500576567438283, 0.5678548858020198, -0.09092665840418947, -0.010101, 0.42082781371839006]","[23501.46821948826, 20.829643042330236, 0.7714740842604334, 0.034555875221184085, 0.005177499355109223, 0.007155000000000001, 0.36321619866823124]",0.39062,146.69375,0.0056988223037169,1650.0,4200.0,0.0005669139064303986
