Horizontal,Vertical,Time,Temperature,Degradation,RPM,Load,Degradation_monotonic
"[10485.494556879596, 30.429244122173564, 0.7148189052167885, 0.2974658911925512, 0.06743994838710968, 0.00047100000000000006, 0.29094690436400933]","[5515.983439664793, 23.286077490589925, 0.82552921029104, -0.0667502645459832, -0.09700743328952768, 0.001221, 0.19040573562526947]",0.0,290.045,0.0,1650.0,4200.0,0.0
"[9821.61930814567, 30.429244122173564, 0.6891589831222551, 0.4818498986580422, 0.0874619208887882, 0.003204, 0.2827068629941622]","[5337.758244647008, 22.270529046352106, 0.8616281379397749, -0.24676607412791007, -0.1325520780695505, 0.001472000000000001, 0.1899970400190487]",0.03906,290.045,1.3761813069307324e-05,1650.0,4200.0,0.0002446172525192237
"[10448.381954320734, 21.299270527843998, 0.7051439735196954, 0.18773423974081904, 0.06809473613546395, 0.00021999999999999887, 0.2734476981069689]","[5175.3101783459215, 22.270529046352106, 0.8259845831912971, -0.15874779518326987, -0.11780506259822598, 0.0016239999999999996, 0.18909451769948277]",0.07812,290.045,2.7523626526615907e-05,1650.0,4200.0,0.0004892347916811292
"[10323.191174005908, 28.460495563154176, 0.7787163392269298, -0.0772056039778497, 0.02968327730435492, 0.0016590000000000025, 0.2881041872639133]","[5448.093971522297, 28.460495563154176, 0.8264252311045828, -0.08665703496362198, -0.0617005158192669, -0.0005600000000000005, 0.19223323437949016]",0.11719,290.045,4.128896371302824e-05,1650.0,4200.0,0.0007339152436942352
"[9361.376685616773, 28.460495563154176, 0.89841225242498, -0.2846407293807829, 0.10730522898199914, -0.006332999999999997, 0.2734968191972258]","[5504.71851908192, 21.299270527843998, 0.7795846520310746, 0.037440248550920874, -0.06422507895402797, 0.0029669999999999996, 0.19196438188111878]",0.15625,290.045,5.505077822006895e-05,1650.0,4200.0,0.0009785333562158975
"[14110.57112034194, 27.21928127950858, 0.8885052950744613, -0.23065349702670268, -0.018772758041492685, 0.0073290000000000004, 0.271143081709639]","[6721.840588561126, 21.299270527843998, 0.6975703528931543, 0.4822906623886518, 0.020448476606026944, 0.001654000000000002, 0.2025058179016099]",0.19531,290.045,6.881259388128515e-05,1650.0,4200.0,0.0012231517553812493
"[14934.247948844237, 27.21928127950858, 0.8001549390904605, -0.026057443409492453, -0.15072940146074099, -0.000282, 0.2551476797386173]","[6856.089085042422, 27.21928127950858, 0.7347517118514004, 0.2904156015032928, 0.08604854276920468, -0.0006369999999999974, 0.20520941798806408]",0.23438,290.045,8.257793268386702e-05,1650.0,4200.0,0.0014678330676189848
"[12172.229164742503, 27.832970270664607, 0.7059532103381208, 0.3267972409637756, 0.04882792583822362, -0.0023279999999999993, 0.2499508439993752]","[5640.94685036628, 23.286077490589925, 0.7511393021467208, 0.1252724149525397, 0.1324476623291133, 0.0010849999999999996, 0.1966801407743039]",0.27344,290.045,9.633974909250635e-05,1650.0,4200.0,0.001712452040146109
"[14041.980368400664, 24.89688681058519, 0.783883913871281, 0.17277975725626193, 0.12822771258532112, 0.001094999999999999, 0.24433862563049666]","[6314.955793212741, 23.286077490589925, 0.6702354066195281, 0.2122629552528843, 0.10338171563756998, -0.00045600000000000084, 0.20139371902817627]",0.3125,290.045,0.0001101015664268,1650.0,4200.0,0.0019570712993179306
"[10467.200605752074, 30.429244122173564, 0.8574052012649224, -0.25530993662556867, 0.023240620197747686, -0.0031800000000000014, 0.23241424569074934]","[7386.628887872992, 23.811088024719595, 0.6480535749829708, 0.29115038866984033, 0.08567945995001841, 0.0010929999999999985, 0.20948988126160173]",0.35156,290.045,0.0001238633847545,1650.0,4200.0,0.002201690845134785
"[8745.447715942279, 26.032198621733908, 0.8684319165859704, -0.44710104362847547, 0.0019749016348201086, 0.003000999999999999, 0.2552403200887352]","[7127.979171477725, 21.299270527843998, 0.6466614135754207, 0.2541335809957941, 0.003664089091082714, -0.002989000000000003, 0.2088383558616568]",0.39062,290.045,0.0001376252042362,1650.0,4200.0,0.0024463106775970086
"[8516.144118374506, 26.032198621733908, 0.8896627487818888, -0.45628215241687764, 0.07181968161511468, -0.001516, 0.26897163743413544]","[6726.467034004567, 22.772642910514104, 0.8823753608197167, -0.20616003992804321, -0.11895441745865357, 0.0002529999999999988, 0.21231672329564621]",0.42969,290.045,0.0001513905481097,1650.0,4200.0,0.0026909934235002445
"[9784.46744941706, 26.032198621733908, 0.7210763865654396, 0.14483337900873883, 0.11675324320003143, 0.0011109999999999991, 0.2633896821802251]","[7001.08999200789, 25.45821483364418, 0.7829662958352648, -0.2416246107976563, 0.061806051364931426, 0.0005030000000000005, 0.2158557342092167]",0.46875,290.045,0.0001651523702375,1650.0,4200.0,0.0029356138293276
"[10273.565029578202, 28.460495563154176, 0.6890311741993949, 0.2258859716762247, 0.041323798721667505, 0.003715, 0.26324790174852297]","[7147.695260218634, 23.286077490589925, 0.8157836577244042, -0.16727784399993118, 0.10530776604258422, 0.0013650000000000008, 0.21956029644496294]",0.50781,290.045,0.0001789141937099,1650.0,4200.0,0.0031802345218013323
"[8831.401108174114, 26.032198621733908, 0.8609646736143213, -0.10085949936534133, 0.15822386823851284, -0.000825999999999997, 0.25747399038349483]","[7151.8402798004445, 23.286077490589925, 0.8602338353373311, -0.203427910533295, -0.04454871168325958, 0.003110000000000002, 0.2234399648675232]",0.54688,290.045,0.0001926795419366,1650.0,4200.0,0.003424918127937262
