Horizontal,Vertical,Time,Temperature,Degradation,RPM,Load,Degradation_monotonic
"[19551.64101913802, 20.370370370370363, 0.7600689752467633, 0.11310437067677714, 0.11436431850128277, -0.005059000000000001, 0.4225947201740694]","[12787.75200662404, 20.829643042330236, 0.8521770881342033, 0.0010082778566316009, -0.07417571639928693, 0.013011000000000003, 0.3014080769969511]",0.0,290.045,,1800.0,4000.0,0.0
"[19067.893058270853, 27.21928127950858, 0.7220131605620669, 0.06929097190057076, 0.007892947812988674, -0.003590000000000004, 0.42818099899458406]","[12501.70112190195, 41.57687030782511, 0.7727438258545676, 0.061637322776251224, 0.04609496930956325, 0.016426000000000003, 0.30463810747180003]",0.03906,290.045,,1800.0,4000.0,8.166741075962827e-05
"[17731.664456472365, 27.21928127950858, 0.7495954211928425, 0.034415819698113914, 0.022932244934811753, -0.0013870000000000035, 0.4031277678739087]","[12605.474905383837, 20.829643042330236, 0.7552459744731579, 0.1348055523445515, 0.05924593186536351, 0.012536000000000002, 0.3005385976942063]",0.07812,290.045,,1800.0,4000.0,0.0001633349172171905
"[20048.217637258018, 22.270529046352106, 0.8654844787102787, -0.03051871949303875, -0.18885655664179093, 0.011817999999999999, 0.41074383120869873]","[12902.584152723706, 22.270529046352106, 0.8485765458277392, 0.05137367204317966, -0.01579128584419925, 0.011123999999999998, 0.2996894169369349]",0.11719,290.045,,1800.0,4000.0,0.00024502342762933166
"[19556.318949371864, 27.832970270664607, 0.7949629723349707, 0.0591782133479577, -0.13199085653131454, 0.010195000000000001, 0.4018680740927301]","[13170.704682782936, 20.370370370370363, 0.8545625635316854, -0.027321603640542147, 0.06255665864291096, 0.010265999999999999, 0.30693083462565307]",0.15625,290.045,,1800.0,4000.0,0.00032669112550759866
"[19535.286418885786, 22.270529046352106, 0.8586631755612807, -0.052914642124577416, 0.08604634138824271, -0.0004959999999999992, 0.3828438428184526]","[13457.177857106693, 20.829643042330236, 0.857488229721924, -0.12138284498328034, 0.03421711456517839, 0.0011630000000000021, 0.3053107997287354]",0.19531,290.045,,1800.0,4000.0,0.0004083589190841362
"[19906.971055873997, 20.370370370370363, 0.7522691481275803, 0.10256250773193143, 0.06990896914388364, 0.00022699999999999942, 0.3778492867149546]","[13649.378628912478, 20.829643042330236, 0.8545582943846348, -0.23198295197883656, -0.0816589856363312, 0.0010520000000000024, 0.31201148583986454]",0.23438,290.045,,1800.0,4000.0,0.0004900477166890963
"[18863.76460324836, 20.370370370370363, 0.6401369060484917, 0.37305862709447624, -0.02933348359595539, 0.008131000000000001, 0.37859641287127904]","[12615.75900526168, 21.779486287708007, 0.8045942038843423, 0.07163024842452215, -0.09517703193865393, 0.006501, 0.3077946068387164]",0.27344,290.045,,1800.0,4000.0,0.0005717157016870114
"[18972.847673426048, 23.811088024719595, 0.7079648773683437, 0.24984956697281202, -0.01625048387198447, 0.003894000000000002, 0.39470742172399037]","[11753.1817988683, 20.829643042330236, 0.6832665773331998, 0.2930492533425748, -0.008512362385128631, 0.009958, 0.2940845494683459]",0.3125,290.045,,1800.0,4000.0,0.0006533837823835336
"[19182.134444939766, 24.89688681058519, 0.7942008068253051, 0.05760187169923059, 0.03263970335255122, -0.004945999999999999, 0.4136425039620566]","[11861.966627988217, 20.370370370370363, 0.8157331843401479, 0.0205838199631434, 0.0470208909555211, 0.0061140000000000005, 0.29026769541924574]",0.35156,290.045,,1800.0,4000.0,0.0007350519587787746
