Horizontal,Vertical,Time,Temperature,Degradation,RPM,Load,Degradation_monotonic
"[18122.168936828697, 26.6191235131627, 0.8229559173544891, 0.17166969534378396, 0.07082301602864903, 0.0014759999999999999, 0.34681757081209136]","[8252.016992148978, 26.6191235131627, 0.8242562864210357, -0.0941520242723235, -0.007373229375786082, 0.0021630000000000004, 0.24329207227322472]",0.0,65.975054,0.0,1650.0,4200.0,0.0
"[18661.100698098067, 26.6191235131627, 0.798933871434901, 0.048474460639812644, 0.05539278657327944, 0.007456000000000001, 0.3432290256723635]","[8341.637683313096, 26.6191235131627, 0.7886678800474332, -0.08538216262301335, -0.014640820933954099, 0.0005280000000000013, 0.23628475451454756]",0.03906,69.91260000000001,2.519533510253629e-06,1650.0,4200.0,0.0007829293299114518
"[18370.672417947073, 26.6191235131627, 0.7804370488225372, 0.06231921471444535, 0.06320970058994523, 0.0010160000000000004, 0.34289617924963817]","[9717.121476262157, 27.832970270664607, 0.8607275861513842, -0.23030777716637196, 0.06524638578352646, 0.0018210000000000014, 0.2402700625525369]",0.07812,72.28547400000001,5.006645134785064e-06,1650.0,4200.0,0.0014948168247127744
"[15391.676191677581, 26.6191235131627, 0.7921177905771059, -0.03098361506648839, 0.027759698373120194, 0.009531, 0.3331823480303241]","[8571.859779824947, 27.21928127950858, 0.8194827580162628, -0.035611031557911677, 0.051684975567044086, 0.0045670000000000025, 0.23852888611444945]",0.11719,74.33177799999999,7.473111787945211e-06,1650.0,4200.0,0.0021645829531470305
"[17386.132599328652, 28.460495563154176, 0.9119320059904343, -0.31078114965403314, 0.020181549306514727, 0.026316, 0.31653059590504046]","[8691.606750387025, 28.460495563154176, 0.8170985392272847, 0.036875924385061154, -0.03688204372353859, 0.0009250000000000032, 0.24059553481933119]",0.15625,75.869748,9.922447828313796e-06,1650.0,4200.0,0.0028015108212182914
"[16424.748286836006, 28.460495563154176, 0.8324013912592905, -0.08546749258409125, 0.0763289439655731, 1.4000000000001123e-05, 0.3222327664965188]","[9091.611374575672, 22.270529046352106, 0.810578502764022, -0.12135931630059194, -0.069636010473985, 0.0034950000000000007, 0.24659098924129405]",0.19531,77.59308600000001,1.235733637548338e-05,1650.0,4200.0,0.0034075538464864606
"[17503.737988858335, 27.832970270664607, 0.8288870928579277, -0.10183719590649831, 0.15344277966576475, 0.0018170000000000003, 0.34172501446484715]","[7951.111978387986, 27.832970270664607, 0.7843182645459919, -0.10473880299107607, -0.09687276820075635, 0.0006630000000000007, 0.24195485411745724]",0.23438,79.614598,1.477685616238617e-05,1650.0,4200.0,0.003982550788793633
"[16835.54264511543, 27.832970270664607, 0.7370742324860476, 0.056553959016222954, 0.1744865861767733, 0.004078999999999998, 0.3132037432071973]","[8407.0847452335, 23.286077490589925, 0.8152345201585676, 0.01577590290532216, 0.003234175433074065, 9.999999999985577e-07, 0.24423084366844414]",0.27344,81.230714,1.718078104800509e-05,1650.0,4200.0,0.004529451191533505
"[17354.736593173537, 27.832970270664607, 0.7750392634643246, -0.05906773589824077, -0.026673424059364324, -0.006993999999999994, 0.2901626646624269]","[8982.699754279938, 27.832970270664607, 0.8111518274886492, -0.017608647926216747, 0.05083870306196976, 0.004335000000000001, 0.24179553919582553]",0.3125,82.436802,1.9573450781215317e-05,1650.0,4200.0,0.005055614970618768
"[12733.007878443312, 27.832970270664607, 0.7765509283338068, 0.195323981211863, -0.11926425527491509, -0.0012860000000000013, 0.3261742206306317]","[8727.047072958676, 22.772642910514104, 0.7792284124726713, 0.0019775723032968706, -0.0024094535963911042, 0.010529, 0.25454150380438945]",0.35156,83.548314,2.195710839561672e-05,1650.0,4200.0,0.005573414198110754
"[11843.640887218819, 26.6191235131627, 0.7832886904479356, 0.16242264464545686, -0.0655262227487938, 0.001378, 0.3252261507259218]","[9343.701299628887, 21.779486287708007, 0.7402333437296148, 0.1894434048934217, 0.1264453354791221, 0.0069559999999999995, 0.2611379330239098]",0.39062,84.20914599999999,2.4334001175424048e-05,1650.0,4200.0,0.0060849884360233844
"[10361.875922357995, 29.10216911179048, 0.8296946224136741, -0.012477167851515425, 0.12122855799619547, 0.006937, 0.3043244732698966]","[8454.479673668642, 27.21928127950858, 0.7295586211317565, 0.20989766920758202, 0.20779540625630952, 0.001299000000000001, 0.24357849165925963]",0.42969,84.546046,2.670774551391905e-05,1650.0,4200.0,0.006589950164380412
"[13742.912857206193, 27.832970270664607, 0.7425495615936746, 0.07552617740161027, -0.00011976928763933925, 0.004687999999999999, 0.3316531601779184]","[8609.978838740864, 25.45821483364418, 0.8486286438899424, -0.013670210401402816, 0.020207246288258488, 0.002720999999999999, 0.24872632582619797]",0.46875,84.87912200000001,2.907838085029464e-05,1650.0,4200.0,0.0070876188430142786
"[15902.33218726231, 27.832970270664607, 0.7618335080302462, 0.10043600473428338, 0.09241358656627588, 0.009187999999999998, 0.35567791983197383]","[9001.419802030665, 26.032198621733908, 0.7884543019553032, 0.019338057906178818, 0.022163026818087482, 0.0030540000000000003, 0.2539259795373447]",0.50781,85.288428,3.144625993292915e-05,1650.0,4200.0,0.007577796545946774
