Horizontal,Vertical,Time,Temperature,Degradation,RPM,Load,Degradation_monotonic
"[41232.07121244579, 23.811088024719595, 0.7917572036390751, -0.07383852365882282, -0.028296745025129938, 0.0008409999999999957, 0.4225609420178349]","[30365.476205079976, 23.811088024719595, 0.8021701261951353, 0.0810773565881937, -0.03077486816186586, 0.011992999999999997, 0.38181848691623094]",0.0,28.571392,0.0,1800.0,4000.0,0.0
"[39487.88665529984, 23.811088024719595, 0.5914463574808329, 0.7670861695318831, 0.10831079146101948, 0.014735, 0.44289630476557373]","[28198.76141489078, 21.779486287708007, 0.7868531515339952, 0.05949572899136202, 0.011040653668072178, 0.002243000000000002, 0.37656752641591384]",0.03906,41.319118,6.854411378745649e-13,1800.0,4000.0,0.0006290324106204558
"[36003.08511385406, 25.45821483364418, 0.58261322306502, 0.8203951729699601, 0.18379690057731923, -0.009248000000000001, 0.4431852643037672]","[28843.787466655063, 25.45821483364418, 0.7695208100228486, 0.07111790656416783, 0.046878632631016354, 0.001764000000000003, 0.39895446645450655]",0.07812,64.875842,1.2895109457756233e-12,1800.0,4000.0,0.0009872118623225538
"[38623.0680632774, 26.6191235131627, 0.7470247719084561, 0.442003462671106, 0.266808849461315, -0.003008999999999996, 0.4369044917587825]","[28989.92233673093, 24.34793550567121, 0.7098139020376144, 0.19493581908151825, 0.06680974981931692, 0.007109000000000001, 0.39952060162024183]",0.11719,75.98471,1.84625435782552e-12,1800.0,4000.0,0.0011786056791169728
"[45463.290496105976, 25.45821483364418, 0.7159132821003329, 0.42011969379118064, 0.1313456961642227, -0.001961999999999999, 0.47104905748340054]","[27096.605328001653, 25.45821483364418, 0.8084990596149451, -0.09817338654731556, -0.0982377743044311, -0.005611000000000007, 0.4066321503263115]",0.15625,75.93396800000001,2.391779347841549e-12,1800.0,4000.0,0.0013437362110350075
"[52067.21651333737, 25.45821483364418, 0.7809642287961654, 0.24026091140575856, -0.15684781232210532, 0.012325999999999991, 0.44742666854357266]","[31521.29671978732, 26.032198621733908, 0.8627865760956521, -0.25337728532267345, -0.15167141712014112, 0.004932999999999991, 0.4056096528819303]",0.19531,76.21577599999999,2.9370913616181418e-12,1800.0,4000.0,0.0015068664686621652
"[45465.30067663558, 27.21928127950858, 0.8651071927171377, -0.22813710787047192, -0.11497474283969134, 0.025101000000000002, 0.4008941516148621]","[35365.524657146125, 26.032198621733908, 0.868480438126922, -0.2267586454807824, -0.09963319856451144, -0.010605999999999997, 0.40638229140059734]",0.23438,76.676406,3.4818638845961066e-12,1800.0,4000.0,0.0016687924950539328
"[44112.94765206248, 26.032198621733908, 0.8218533450904455, -0.15538272945543863, -0.028772315728421278, 0.0020680000000000004, 0.4004966084450654]","[33551.86116053824, 24.89688681058519, 0.8146093816868335, -0.11757317204730944, 0.004768764921199339, 0.005666999999999997, 0.41007046481184184]",0.27344,77.254592,4.0255542913277524e-12,1800.0,4000.0,0.0018282473759295668
"[41218.255017692594, 23.286077490589925, 0.8483702088356492, -0.06591284304429657, -0.07031058610111103, 0.011923999999999995, 0.4062369188343177]","[29039.94909310677, 27.21928127950858, 0.7354218884643098, 0.057598835365781476, -0.029093831443044595, 0.007691000000000001, 0.398917988462541]",0.3125,77.896526,4.568150239238775e-12,1800.0,4000.0,0.0019849803768191756
"[53005.86442800885, 31.81683448714817, 0.7039715686036538, 0.4808804551905479, -0.05264667830075917, 0.013426999999999996, 0.4270086517519288]","[33196.25312884767, 22.270529046352106, 0.7515405557182706, -0.09310365341145266, -0.05564684673856079, -0.014112999999999999, 0.3977098669017403]",0.35156,78.59483999999999,5.109560509488518e-12,1800.0,4000.0,0.00213876661502605
