Horizontal,Vertical,Time,Temperature,Degradation,RPM,Load,Degradation_monotonic
"[13903.377615778423, 29.758309904755187, 0.8290565251391568, -0.0025151109120793436, -0.044742893296587684, -0.0013729999999999994, 0.357039003290957]","[13300.689476397776, 27.832970270664607, 0.8002215147611386, -0.06969617263295458, 0.007939877196459442, 0.000482999999999997, 0.3347185858463793]",0.0,74.300634,0.0,1650.0,4200.0,0.0
"[14894.977879030661, 29.758309904755187, 0.8904582450306783, -0.317568818422191, -0.027563428048187063, -0.0032989999999999994, 0.3561553307182134]","[14189.463060249926, 29.758309904755187, 0.7515160942106653, 0.2098607053214412, 0.004131850114798422, -0.0005930000000000017, 0.3509999905284899]",0.03906,75.820144,7.979499890157805e-05,1650.0,4200.0,0.010031221517847841
"[16379.396743624577, 31.115305298264754, 0.8330062514417242, -0.03838111118131993, -0.10060557891163335, -0.006287000000000001, 0.35051362688346366]","[14162.602782589418, 31.115305298264754, 0.709592420450261, 0.22987571988167943, 0.019205273317244587, -0.0007949999999999986, 0.3336824223344706]",0.07812,78.16690400000002,0.000159034504336,1650.0,4200.0,0.01953664895503145
"[14575.31239668538, 31.115305298264754, 0.7501970740367792, 0.11730864987507283, -0.005081389256063138, -0.0018160000000000012, 0.32111498586020554]","[12493.416970291126, 31.115305298264754, 0.7439472776888469, 0.08476371342605482, 0.00793047234710915, 0.0010310000000000002, 0.31347938056433633]",0.11719,78.70572800000001,0.0002378918007208,1650.0,4200.0,0.028627181536171345
"[33884.40788308816, 30.429244122173564, 0.8499949939583424, -0.2166761501734471, 0.03368489800468392, 0.064805, 0.3048818410056591]","[18919.67860312426, 22.270529046352106, 0.7630911707432597, 0.27901073978872226, 0.04034642751695514, 0.027605000000000008, 0.3282555909272529]",0.15625,79.577696,0.0003165372386433,1650.0,4200.0,0.03754499767767073
"[31898.340497542336, 31.115305298264754, 0.7864555586425013, -0.23379120911620976, -0.015533403657599563, 0.130357, 0.29676159716344697]","[18635.030287118476, 31.115305298264754, 0.7932005686282886, 0.029739744429592374, -0.004469612244388839, 0.05945400000000001, 0.33956589917717]",0.19531,80.65255400000001,0.0003949225628145,1650.0,4200.0,0.046269111274310826
"[26484.388231337052, 31.115305298264754, 0.7878842300897437, -0.11263943411541488, -0.09558891131837795, 0.13014900000000001, 0.3086514616829151]","[19050.719572839156, 26.6191235131627, 0.8845276380157205, -0.3037914968202804, -0.016678620831520604, 0.06410500000000001, 0.3439852234835095]",0.23438,81.17202999999999,0.0004731180695859,1650.0,4200.0,0.05475453094594057
"[25930.509852534553, 31.115305298264754, 0.8285704390272224, 0.15141926087435342, -0.16429254551637984, 0.119285, 0.33274602292889993]","[18575.12250527312, 31.115305298264754, 0.8024008949195522, -0.2697030964784264, 0.0328187569246807, 0.064564, 0.34858942310976676]",0.27344,83.825198,0.0005508876354344,1650.0,4200.0,0.06283648039134176
"[25115.992147502995, 29.758309904755187, 0.7978590468872557, 0.16158347526738392, -0.12429499287878873, 0.10931800000000001, 0.33029168756721683]","[18191.25867868658, 27.832970270664607, 0.7851187923721539, -0.18665374017001835, -0.032795139355029305, 0.06568799999999998, 0.34449460178063745]",0.3125,87.72732400000001,0.0006278545708272,1650.0,4200.0,0.07024840311809329
"[23257.179198874084, 29.758309904755187, 0.7512960551826592, 0.22141869796201696, -0.18052082176483636, 0.061536, 0.3276560188734521]","[22249.73663120808, 27.832970270664607, 0.773467137832375, -0.07594043403286621, 0.015420204806196613, 0.036062000000000004, 0.3422959160667857]",0.35156,90.473976,0.0007040493257474,1650.0,4200.0,0.07706753298041726
"[12143.605325431652, 29.758309904755187, 0.6810212650047304, 0.2806657214766708, -0.11323140236577928, 0.008350999999999999, 0.34085450238921594]","[16137.085909189256, 31.115305298264754, 0.6548900559791285, 0.40807977254543726, 0.22316673334851603, -0.0015990000000000004, 0.34804401761702497]",0.39062,93.439614,0.0007796160866008,1650.0,4200.0,0.0833925185625196
"[12113.412081417255, 30.429244122173564, 0.7118709216077315, 0.2070413988635642, -0.05242323157265153, -0.001686999999999999, 0.3335193682996536]","[15188.615132227407, 29.758309904755187, 0.6908599241027449, 0.342938481835668, 0.17199199543224972, -0.010034000000000003, 0.3447948909772301]",0.42969,95.43433600000002,0.0008546778890373,1650.0,4200.0,0.08876367113795011
"[11657.872076598585, 29.10216911179048, 0.768507819372381, 0.07365787505815291, -0.0214110872011343, -0.0044529999999999995, 0.3057302892927032]","[13987.49448931745, 31.115305298264754, 0.7630555005266748, -0.08684338485823284, -0.05457567801244674, -0.009882, 0.3337784625706099]",0.46875,154.881864,0.0009245587688123,1650.0,4200.0,0.09157509014217786
"[11726.36421181153, 29.758309904755187, 0.8310544107579274, -0.24867220120073963, 0.06805313081325987, 0.0011770000000000014, 0.28520073925395073]","[14221.53162401516, 28.460495563154176, 0.7879956859140963, -0.07982392973785535, 0.006251501827937582, -0.009687999999999999, 0.32732622665469385]",0.50781,241.28653400000005,0.0009850037804095,1650.0,4200.0,0.09268847179079123
"[10545.716263705637, 31.115305298264754, 0.7233415112613282, 0.125334826673154, 0.11113282217049167, 0.003158, 0.29638554120604466]","[15582.438808651556, 31.115305298264754, 0.7638543118777532, -0.04159307253719424, 0.13243651087678635, -0.0068930000000000016, 0.33677935143206156]",0.54688,225.482076,0.0010413319652633,1650.0,4200.0,0.09315883364354843
"[9870.591094559668, 31.115305298264754, 0.7246487753604434, 0.20481586621481362, 0.03960542078664871, 0.007821000000000002, 0.29280953017106526]","[13378.211754538439, 22.270529046352106, 0.6789169743358714, 0.10832869751691199, 0.09445955199973956, -0.0012020000000000015, 0.33026016592377594]",0.58594,164.51460999999998,0.0011021027532058,1650.0,4200.0,0.09422093585162993
"[10811.042259489934, 31.115305298264754, 0.8974507683823798, -0.26451769550792514, -0.04826819025982578, 0.003800000000000001, 0.29494643920549374]","[12977.959090209879, 21.779486287708007, 0.6771622408327151, 0.3212707178890639, 0.12426852366893569, 0.0014310000000000004, 0.33057985909459153]",0.625,122.185958,0.0011692904929207,1650.0,4200.0,0.09685251982222136
"[13406.720789173423, 29.758309904755187, 0.8175488270883484, -0.15445686344742304, -0.022428565352145362, 0.005870000000000003, 0.31641045352516406]","[15784.482707414561, 21.779486287708007, 0.7605978281707764, 0.1542945696955491, 0.08347862372583428, 0.0031559999999999995, 0.35522765329292705]",0.66406,97.93494,0.0012414510729122,1650.0,4200.0,0.10069669268032491
"[13540.61624083687, 29.758309904755187, 0.7532751856407147, 0.06051551029100111, -0.06485168360882564, 0.0059240000000000004, 0.33139330443447407]","[16335.00202910411, 21.779486287708007, 0.7657521200280573, -0.06982534864652568, 0.04108588196983973, 0.0010840000000000001, 0.35614128789568894]",0.70312,98.083176,0.0013157725600406,1650.0,4200.0,0.1053682852161311
"[10199.023918218065, 31.115305298264754, 0.7271307284391314, 0.3427778634997045, -0.049565194088625315, -0.003904999999999999, 0.315557522450345]","[15364.155059482666, 21.779486287708007, 0.7666763939324603, 0.0366932913354554, 0.02961746429209166, 0.008476000000000001, 0.34673491232352127]",0.74219,98.437146,0.0013900638961789,1650.0,4200.0,0.11052210840646805
"[11693.196088340082, 29.758309904755187, 0.7086287912393197, 0.21294704134511555, 0.10078337992277249, -0.004361, 0.30790539566399283]","[15104.46173777275, 31.81683448714817, 0.7756838222618907, 0.036093300793155425, 8.412331783579962e-05, 0.008400000000000001, 0.3536372180639362]",0.78125,98.821068,0.0014642640673073,1650.0,4200.0,0.11584754725884623
"[11769.867294958985, 29.758309904755187, 0.8001579275294339, -0.08814365461801943, 0.11716478664774534, -0.009638000000000002, 0.3184473911904445]","[15521.642163882343, 22.270529046352106, 0.8694586967281023, -0.2416739689386067, 0.023944422237850347, 0.005995999999999997, 0.3544609879577723]",0.82031,100.532248,0.0015382614858637,1650.0,4200.0,0.12107659381974682
"[12034.858596489887, 27.832970270664607, 0.8035500003539303, -0.14467559275680486, 0.0965571665654531, -0.0034579999999999997, 0.30929059836341616]","[14367.894366558376, 27.832970270664607, 0.8848785572356804, -0.25387473377258996, 0.01921761704880347, 0.0029919999999999973, 0.33491149866195996]",0.85938,101.87531,0.0016119867680158,1650.0,4200.0,0.12619063349542875
"[10248.55219910219, 30.429244122173564, 0.8151227071789401, -0.10560046718382443, 0.11663225281478877, -0.004639999999999999, 0.2932543885434624]","[12624.556169825632, 30.429244122173564, 0.7838678092703515, 0.037398417588911936, -0.09016165555496625, 0.0007389999999999977, 0.3190352690205269]",0.89844,99.48525,0.0016857926672916,1650.0,4200.0,0.1314726830103008
"[10653.658348991165, 29.10216911179048, 0.853260805279064, -0.05412978211972286, 0.06742358265569824, -0.0001379999999999999, 0.2736905021296866]","[14081.064841619183, 25.45821483364418, 0.7706760757302207, 0.06223754909419865, -0.13090316024272228, 0.0034529999999999964, 0.32224286150510767]",0.9375,97.44954,0.001760025922121,1650.0,4200.0,0.13685741716799904
"[13798.262378372674, 31.115305298264754, 0.8884113189159188, -0.14876762681779887, 0.04029797669381126, 0.003088, 0.30951400332779777]","[14870.562443183611, 27.832970270664607, 0.8376200266551573, -0.13109899730607522, -0.1734783914543607, -0.0006030000000000005, 0.34058390653552617]",0.97656,100.721952,0.0018341391436764,1650.0,4200.0,0.142257181771221
"[13902.883857961888, 31.115305298264754, 0.9302615407437305, -0.4382930496901021, -0.00961482139425231, 0.00048800000000000086, 0.33933326959789845]","[15233.032534965581, 31.115305298264754, 0.7556743244164634, 0.03236004679423532, -0.07848542759559866, 0.001194, 0.34769756738291974]",1.01562,104.643272,0.0019075709862938,1650.0,4200.0,0.1475739138893837
"[15172.234305783333, 31.115305298264754, 0.848580908737711, -0.2518951378008647, -0.03210825025638011, 0.003487, 0.3472596086949935]","[15657.595557438031, 31.115305298264754, 0.7102188991269919, 0.010637836464777894, 0.04524847225165714, 0.0007000000000000011, 0.3537796489341918]",1.05469,105.980634,0.0019805407929135,1650.0,4200.0,0.15270041955367444
